smart_institution5,count
University Of South Dakota,1
University Of South Florida College Of Medicine,53
University Of Southern California,33
University Of Sydney,4
University Of Szeged,1
University Of Tennesse Health Sciences,1
University Of Tennessee Chattanooga,3
University Of Tennessee College Of Medicine,3
University Of Tennessee Graduate School Of Medicine,9
University Of Tennessee Health Science Center,67
University Of Tennessee Medical Canter At Knoxville,1
University Of Texas At Austin Dell Medical School,4
University Of Texas Health San Antonio,1
University Of Texas Health Science Center At Houston,169
University Of Texas Health Science Center At San Antonio,14
University Of Texas Md Anderson Cancer Center,35
University Of Texas Medical Branch,61
University Of Texas Rio Grande Valley School Of Medicine,6
University Of Texas Southwestern - Austin,1
University Of Texas Southwestern Medical Center,190
University Of The Incarnate Word School Of Osteopathic Medicine,2
University Of The Witwatersrand,2
University Of Toledo Medical Center,33
University Of Toronto,12
University Of Tripoli,2
University Of Utah,104
University Of Vermont College Of Medicine / Fletcher Allen Health Care,41
University Of Vermont Larner College Of Medicine,1
University Of Virginia,99
University Of Washington,10
University Of Wisconsin,216
University Of Wiscosin,1
University Radiology At Robert Wood Johnson,1
University Teaching Hospital Of Kigali,3
Unversity Of Kansas,2
Upmc Division Of Surgical Oncology,2
Upmc Mercy,3
Usf Health Morsani College Of Medicine,2
Ut Health San Antonio,1
Uthsc Com Chattanooga,1
Utmb,1
Utrgv School Of Medicine,1
Uvm Medical Center,1
Uw Health,1
Va New Jersey Healthcare System,1
Va New York Harbor Healthcare System,1
Va North Texas Health Care System,1
Va Northern California Health Care System,1
Va Palo Alto Healthcare Systems,4
Va Salt Lake City Health Care System,1
Va White River Junction,1
Valley Children'S Hospital,4
Valley Health System / Mcallen Medical Center,4
Valley Heart And Vascular Institute,1
Vanderbilt University Medical Center,87
Vascular Biology Program,1
Vassar Brothers Medical Center,1
Vcu Medical Center,1
Veterans Affairs Ann Arbor,1
Veterans Affairs New Jersey Health Care System,1
Vilnius University,5
Virginia Commonwealth University,47
Virginia Hospital Center,1
Virginia Tech Carilion School Of Medicine,16
Vu University Medical Center,2
Wakamatsu Hospital Of University Of Occupational And Environmental Health,1
Wake Forest University School Of Medicine,33
Wakemed Health & Hospitals,2
Walter Reed Army Medical Center,1
Walter Reed National Military Medical Center,3
Warren Alpert Medical School Of Brown University,5
Washington Hospital Center,7
Washington University In Saint Louis,1
Washington University In St. Louis,59
Wayne State University,27
Weill Cornell Medical College,48
Wellspan York Hospital,1
Wellstar Atlanta Medical Center,1
West China Hospital Of Sichuan University,1
West Virginia School Of Medicine,1
West Virginia University,16
West Virginia University School Of Medicine,3
West Virginia University/Charleston Division,1
Westchester Medical Center,16
Westchester Medical Center / New York Medical College,1
Western Michigan University,2
Western Michigan University Homer Stryker Md School Of Medicine,8
Western University Of Health Sciences,2
Westmead Hospital,5
William Beaumont Army Medical Center,3
William S. Middleton Va,3
Willis-Knighton Medical Center,1
Wolfson Children'S Hospital,1
Women And Children'S Hospital Of Buffalo,7
Wright State University,46
Xi'An Jiaotong University Second Affiliated Hospital,1
Xijing Hospital,2
Yale University School Of Medicine,182
Yokohama City University,2
York Hospital,5
Zhongshan Hospital Fudan University,4
Zucker School Of Medicine At Hofstra/Northwell,4
Zucker School Of Medicine Hofstra Northwell,1
Zucker Som At Hofstra/Northwell Health,1
