,year,smart_institution5,count
511,2017,Wake Forest University School Of Medicine,3
807,2018,Wake Forest University School Of Medicine,3
2256,2023,Virginia Commonwealth University,3
2249,2023,Upmc Mercy,3
220,2016,University Of Vermont College Of Medicine / Fletcher Allen Health Care,3
499,2017,University Of Vermont College Of Medicine / Fletcher Allen Health Care,3
1117,2019,University Of Vermont College Of Medicine / Fletcher Allen Health Care,3
497,2017,University Of Toronto,3
1438,2020,University Of Texas Rio Grande Valley School Of Medicine,3
1705,2021,University Of Texas Rio Grande Valley School Of Medicine,3
787,2018,University Of Texas Md Anderson Cancer Center,3
1435,2020,University Of Texas Health Science Center At San Antonio,3
781,2018,University Of Southern California,3
486,2017,University Of Rochester,3
204,2016,University Of New Mexico Hsc,3
479,2017,University Of Nebraska College Of Medicine,3
772,2018,University Of Nebraska College Of Medicine,3
1909,2022,University Of Missouri Kansas City School Of Medicine,3
477,2017,University Of Minnesota,3
771,2018,University Of Minnesota,3
1090,2019,University Of Medicine (1),3
1904,2022,University Of Massachusetts Medical School,3
1680,2021,University Of Maryland,3
470,2017,University Of Kentucky,3
469,2017,University Of Kansas Medical Center,3
763,2018,University Of Kansas,3
1083,2019,University Of Kansas,3
192,2016,University Of Illinois At Chicago,3
1076,2019,University Of Chicago,3
461,2017,University Of Cambridge,3
753,2018,University Of Cambridge,3
455,2017,University Of Calgary,3
179,2016,University Of Auckland,3
177,2016,University Of Alberta,3
1376,2020,Tufts Medical Center,3
170,2016,Tokyo Medical And Dental University,3
2172,2023,Tokyo Medical And Dental University,3
1649,2021,Thomas Jefferson University,3
165,2016,The Jikei University School Of Medicine,3
729,2018,The Jikei University School Of Medicine,3
1046,2019,The Jikei University School Of Medicine,3
1874,2022,The Children'S Hospital Of Alabama,3
1042,2019,The Brookdale University Hospital And Medical Center,3
723,2018,The Alfred Hospital,3
722,2018,Texas Tech University Health Sciences Center,3
1645,2021,Texas Tech University Health Sciences Center,3
2165,2023,Texas Tech University Health Sciences Center,3
721,2018,Texas Children'S Hospital,3
1871,2022,Temple University,3
1035,2019,Suny Upstate Medical University,3
156,2016,Suny Downstate Health Sciences University,3
422,2017,Suny Downstate Health Sciences University,3
1357,2020,Stroger Hospital Of Cook County,3
2158,2023,Stellenbosch University,3
418,2017,State University Of New York Downstate Medical Center,3
1031,2019,State University Of New York Downstate Medical Center,3
1640,2021,State University Of New York At Buffalo,3
2154,2023,St. Mary'S Hospital,3
415,2017,St. Luke'S University Health Network,3
402,2017,Rutgers Robert Wood Johnson Medical School,3
698,2018,Rutgers Robert Wood Johnson Medical School,3
137,2016,Rush University Medical Center,3
401,2017,Rush University Medical Center,3
697,2018,Rush University Medical Center,3
1858,2022,Robert Wood Johnson - Umdnj,3
397,2017,Rhode Island Hospital,3
1001,2019,Rhode Island Hospital,3
2135,2023,Rhode Island Hospital,3
998,2019,Radboud University Medical Center,3
1851,2022,Penn State Hershey Medical Center,3
1613,2021,Oregon Health And Science University,3
679,2018,Ohiohealth Grant Medical Center,3
1842,2022,Nsu,3
120,2016,North Shore University And Long Island Jewish Medical Center,3
670,2018,North Shore University And Long Island Jewish Medical Center,3
1835,2022,Newyork-Presbyterian Queens Hospital,3
118,2016,New York University School Of Medicine,3
1297,2020,New York University School Of Medicine,3
974,2019,New York Medical College,3
1598,2021,New Jersey Medical School,3
362,2017,Naval Medical Center Portsmouth,3
659,2018,National Cancer Institute,3
111,2016,Mulago Hospital,3
1825,2022,Moffitt Cancer Center And Research Institute,3
106,2016,Michigan State University,3
2097,2023,Michael And Dianne Biennes Comprehensive Cancer Center,3
1589,2021,Metrohealth Medical Center,3
1276,2020,Meharry Medical College,3
1275,2020,Medical University Of South Carolina,3
1820,2022,Medical University Of South Carolina,3
344,2017,Medical College Of Georgia,3
343,2017,Mcgill University,3
943,2019,Madigan Army Medical Center,3
1263,2020,Madigan Army Medical Center,3
635,2018,Loyola University Medical Center,3
941,2019,Loyola University Medical Center,3
90,2016,Louisiana State University Health Sciences Center,3
1260,2020,Louisiana State University Health Sciences Center,3
1808,2022,Loma Linda University Children'S Hospital,3
935,2019,Lac+Usc Medical Center,3
87,2016,Laboratory For Fetal And Regenerative Biology,3
83,2016,Keio University School Of Medicine,3
1801,2022,Johns Hopkins University School Of Medicine,3
75,2016,Inova Fairfax Hospital,3
319,2017,Inova Fairfax Hospital,3
317,2017,Imperial College London,3
612,2018,Holy Cross Hospital,3
609,2018,Henry Ford Health System,3
1555,2021,Henry Ford Health System,3
1792,2022,Hca/Usf Regional Medical Center Bayonet Point,3
1791,2022,Hca Healthcare,3
608,2018,Harvard Medical School,3
306,2017,Harbor-Ucla Medical Center,3
2042,2023,Georgetown University Medical Center,3
1222,2020,George Washington University,3
2041,2023,George Washington University,3
1783,2022,Geisinger Medical Center,3
2040,2023,Geisinger Medical Center,3
58,2016,Fox Chase Cancer Center,3
299,2017,Florida State University College Of Medicine/Sarasota Memorial Health Care System,3
1538,2021,Federal University Of Health Sciences Of Porto Alegre,3
296,2017,Eastern Virginia Medical School,3
2024,2023,East Carolina University Brody School Of Medicine,3
50,2016,Drexel University College Of Medicine,3
881,2019,Drexel University College Of Medicine,3
2020,2023,Donald And Barbara Zucker School Of Medicine At Hofstra/Northwell,3
2015,2023,Detroit Medical Center,3
46,2016,Denver Health Medical Center,3
1768,2022,Dartmouth Hitchcock Medical Center,3
2007,2023,Crozer Chester Medical Center,3
2005,2023,Cooper University Hospital,3
871,2019,Columbia University Irving Medical Center,3
1197,2020,Columbia University Irving Medical Center,3
2002,2023,Cleveland Clinic,3
34,2016,Children'S Mercy Hospital- University Of Missouri Kansas City,3
30,2016,Children'S Hospital Of Wisconsin,3
274,2017,Children'S Hospital Of Wisconsin,3
1757,2022,Children'S Hospital Los Angeles,3
1182,2020,Central Michigan University College Of Medicine,3
856,2019,Center For Surgery And Public Health,3
854,2019,Cedars-Sinai Medical Center,3
1503,2021,Cedars-Sinai Medical Center,3
852,2019,Carolinas Medical Center,3
1169,2020,Broward Health Medical Center,3
1746,2022,Brigham And Women'S Hospital,3
1165,2020,Brandon Regional Hospital,3
14,2016,Boston University,3
264,2017,Boston University,3
1163,2020,Boston Children'S Hospital,3
1491,2021,Boston Children'S Hospital,3
259,2017,Baystate Medical Center,3
544,2018,Baylor College Of Medicine & Texas Children'S Hospital,3
1965,2023,Ascension Providence Hospital,3
1155,2020,Anne Arundel Medical Center,3
6,2016,Ann And Robert H. Lurie Children'S Hospital Of Chicago,3
1961,2023,Allegheny Health Network Cancer Institute,3
3,2016,Albert Einstein College Of Medicine,3
827,2019,Albert Einstein College Of Medicine,3
1483,2021,Albert Einstein College Of Medicine,3
528,2018,Albany Medical College,3
1482,2021,Albany Medical College,3
1734,2022,Albany Medical College,3
245,2017,Aga Khan University Medical College,3
1146,2020,Adventhealth Orlando,3
1732,2022,Adventhealth Orlando,3
526,2018,Abington Memorial Hospital,3
523,2017,Zhongshan Hospital Fudan University,2
1727,2021,Wright State University,2
815,2018,Women And Children'S Hospital Of Buffalo,2
1469,2020,Western University Of Health Sciences,2
2266,2023,Western Michigan University Homer Stryker Md School Of Medicine,2
812,2018,Westchester Medical Center,2
516,2017,West Virginia University,2
1945,2022,Washington University In St. Louis,2
1131,2019,Warren Alpert Medical School Of Brown University,2
2258,2023,Warren Alpert Medical School Of Brown University,2
1129,2019,Wake Forest University School Of Medicine,2
229,2016,Vu University Medical Center,2
1126,2019,Virginia Commonwealth University,2
1715,2021,Virginia Commonwealth University,2
1936,2022,Valley Health System / Mcallen Medical Center,2
1449,2020,Valley Children'S Hospital,2
1712,2021,Valley Children'S Hospital,2
225,2016,Va Palo Alto Healthcare Systems,2
224,2016,University Teaching Hospital Of Kigali,2
222,2016,University Of Washington,2
501,2017,University Of Washington,2
1119,2019,University Of Washington,2
794,2018,University Of Vermont College Of Medicine / Fletcher Allen Health Care,2
1708,2021,University Of Vermont College Of Medicine / Fletcher Allen Health Care,2
1931,2022,University Of Vermont College Of Medicine / Fletcher Allen Health Care,2
1928,2022,University Of Toledo Medical Center,2
2241,2023,University Of The Incarnate Word School Of Osteopathic Medicine,2
1436,2020,University Of Texas Md Anderson Cancer Center,2
1925,2022,University Of Texas Md Anderson Cancer Center,2
493,2017,University Of Texas Health Science Center At San Antonio,2
1924,2022,University Of Texas Health Science Center At San Antonio,2
490,2017,University Of Tennessee Graduate School Of Medicine,2
1920,2022,University Of Tennessee Graduate School Of Medicine,2
2234,2023,University Of Tennessee Graduate School Of Medicine,2
782,2018,University Of Tennessee College Of Medicine,2
489,2017,University Of Sydney,2
780,2018,University Of South Florida College Of Medicine,2
779,2018,University Of South Alabama,2
1917,2022,University Of South Alabama,2
208,2016,University Of Rochester,2
778,2018,University Of Rochester,2
1693,2021,University Of Rochester,2
1424,2020,University Of Puerto Rico School Of Medicine,2
1099,2019,University Of Oklahoma College Of Medicine,2
1419,2020,University Of Newcastle,2
774,2018,University Of New Mexico Hsc,2
1096,2019,University Of New Mexico Hsc,2
1686,2021,University Of New Mexico Hsc,2
203,2016,University Of Nevada,2
1908,2022,University Of Mississippi,2
1907,2022,University Of Minnesota,2
198,2016,University Of Massachusetts Medical School,2
768,2018,University Of Massachusetts Medical School,2
2212,2023,University Of Massachusetts Medical School,2
1088,2019,University Of Maryland,2
1903,2022,University Of Maryland,2
1901,2022,University Of Kentucky,2
1084,2019,University Of Kansas Medical Center,2
2207,2023,University Of Kansas Medical Center,2
468,2017,University Of Kansas,2
2206,2023,University Of Kansas,2
2201,2023,University Of Connecticut School Of Medicine,2
1896,2022,University Of Chicago,2
2192,2023,University Of California - Riverside,2
1069,2019,University Of California - Davis,2
2189,2023,University Of California - Davis,2
1068,2019,University Of British Columbia,2
2187,2023,University Of Auckland,2
452,2017,University Of Arkansas For Medical Sciences,2
743,2018,University Hospitals Cleveland Medical Center,2
1383,2020,University Hospitals Cleveland Medical Center,2
1885,2022,University Hospitals Cleveland Medical Center,2
175,2016,University Hospitals Case Medical Center,2
448,2017,University Hospitals Case Medical Center,2
1655,2021,Universidade Federal De Cincias Da Sade De Porto Alegre,2
741,2018,Uniformed Services University Of The Health Sciences,2
1880,2022,Uniformed Services University Of The Health Sciences,2
1378,2020,Uc San Diego School Of Medicine,2
445,2017,Uc Davis,2
441,2017,Tokyo Medical And Dental University,2
735,2018,Tokyo Medical And Dental University,2
2170,2023,The University Of Tennessee Medical Center At Knoxville,2
437,2017,The University Of Hong Kong,2
1648,2021,The Mount Sinai Hospital,2
1044,2019,The Feinstein Institute For Medical Research,2
162,2016,The Children'S Hospital Of Alabama,2
430,2017,The Alfred Hospital,2
1646,2021,The Alfred Hospital,2
1039,2019,The Aga Khan University Hospital Karachi,2
1363,2020,Texas Tech University Health Sciences Center,2
427,2017,Texas Children'S Hospital,2
1362,2020,Texas Children'S Hospital,2
1642,2021,Stony Brook University Medical Center,2
1355,2020,Steward Easton Hospital,2
1869,2022,Staten Island University Hospital,2
2157,2023,Staten Island University Hospital,2
1354,2020,State University Of New York Downstate Medical Center,2
2156,2023,State University Of New York At Buffalo,2
1028,2019,St. Luke'S University Health Network,2
1351,2020,St. Luke'S University Health Network,2
1638,2021,St. Luke'S University Health Network,2
414,2017,St. Louis University,2
2152,2023,St. Joseph'S University Medical Center,2
412,2017,St. George'S University School Of Medicine,2
1026,2019,St. George'S University School Of Medicine,2
1348,2020,Sparrow Health Systems,2
410,2017,Southern Illinois University School Of Medicine,2
1022,2019,Sinai Hospital Of Baltimore,2
1346,2020,Sidney Kimmel Medical College At Thomas Jefferson University,2
145,2016,Shriners Hospitals For Children-Boston,2
143,2016,Sapienza University Of Rome,2
1339,2020,San Joaquin General Hospital,2
142,2016,Saint Louis University School Of Medicine,2
1335,2020,Saint Agnes Hospital,2
1630,2021,Rwanda Military Hospital,2
1332,2020,Rutgers Robert Wood Johnson Medical School,2
1629,2021,Rutgers Robert Wood Johnson Medical School,2
1862,2022,Rutgers Robert Wood Johnson Medical School,2
1861,2022,Rutgers Cancer Institute Of New Jersey,2
138,2016,Rutgers - Njms,2
1624,2021,Royal North Shore Hospital,2
1326,2020,Rhode Island Hospital,2
1855,2022,Reading Hospital,2
132,2016,Radboud University Medical Center,2
690,2018,Qilu Hospital Of Shandong University,2
2131,2023,Providence Hospital And Medical Centers,2
2130,2023,Price Institute Of Surgical Research,2
1617,2021,Penn Medicine Lancaster General Health,2
2126,2023,Penn Medicine Lancaster General Health,2
683,2018,Partners In Health,2
994,2019,Paracelsus Medical University,2
1317,2020,Papageorgiou General Hospital,2
993,2019,Our Lady Of The Lake Regional Medical Center,2
385,2017,Orlando Regional Medical Center,2
126,2016,Oregon Health And Science University,2
384,2017,Oregon Health And Science University,2
383,2017,Ohiohealth Grant Medical Center,2
2120,2023,Ohiohealth Grant Medical Center,2
379,2017,Ocshner Clinic,2
1309,2020,Oakland University William Beaumont School Of Medicine,2
1608,2021,Nuvance Health,2
1841,2022,Nova Southeastern University,2
675,2018,Northwell Health System North Shore Lij,2
673,2018,Northwell Health At Staten Island University Hospital,2
672,2018,Northwell Health,2
1838,2022,Northwell Health,2
373,2017,Northshore University Healthsystem,2
121,2016,Northshore University Health System,2
671,2018,Northern Ontario School Of Medicine,2
980,2019,Northern Ontario School Of Medicine,2
371,2017,North Shore University And Long Island Jewish Medical Center,2
978,2019,Nippon Medical School,2
1834,2022,New York University School Of Medicine,2
667,2018,New York Presbyterian Hospital,2
368,2017,New York Methodist Hospital,2
1296,2020,New York Medical College,2
363,2017,Naval Medical Research Unit San Antonio,2
2106,2023,Naval Medical Research Unit San Antonio,2
2105,2023,Naval Medical Center San Diego,2
360,2017,National University Of Rwanda,2
661,2018,National University Of Rwanda,2
967,2019,National Taiwan University Hospital,2
966,2019,National Cancer Institute,2
1289,2020,National Cancer Institute,2
1827,2022,National Cancer Institute,2
1288,2020,Nagoya University,2
1287,2020,Nagasaki University,2
1284,2020,Morehouse School Of Medicine,2
1592,2021,Morehouse School Of Medicine,2
108,2016,Monash University,2
654,2018,Midwestern University,2
1282,2020,Michigan State University,2
959,2019,Metrohealth Medical Center,2
649,2018,Mercy Catholic Medical Center,2
648,2018,Mercer University School Of Medicine,2
347,2017,Memorial Sloan-Kettering Cancer Center,2
955,2019,Meharry Medical College,2
952,2019,Medical College Of Georgia,2
1273,2020,Medical College Of Georgia,2
1583,2021,Medical College Of Georgia,2
644,2018,Mcgovernmedicalschool,2
2090,2023,Mccormick School Of Engineering,2
2089,2023,Mayo Clinic In Arizona,2
948,2019,Mayo Clinic - Florida,2
1271,2020,Mayo Clinic - Florida,2
1581,2021,Mayo Clinic - Florida,2
1818,2022,Mayo Clinic,2
1267,2020,Marshall University School Of Medicine,2
1577,2021,Marshall University School Of Medicine,2
2084,2023,Marian University College Of Osteopathic Medicine,2
1264,2020,Maine Medical Center,2
1575,2021,Madigan Army Medical Center,2
92,2016,Loyola University Chicago Stritch School Of Medicine,2
1810,2022,Loyola University Chicago Stritch School Of Medicine,2
939,2019,Louisiana State University Health Sciences Center,2
333,2017,Loma Linda University School Of Medicine,2
632,2018,Loma Linda University School Of Medicine,2
1573,2021,Loma Linda University School Of Medicine,2
1259,2020,Loma Linda University Children'S Hospital,2
2079,2023,Liver And Pancreas Transplant Center,2
631,2018,Lehigh Valley Health Network,2
1255,2020,Lehigh Valley Health Network,2
2075,2023,Le Bonheur Children'S Hospital,2
1805,2022,Lac+Usc Medical Center,2
329,2017,Kyushu University,2
86,2016,Kobe University Graduate School Of Medicine,2
933,2019,Kobe University Graduate School Of Medicine,2
1253,2020,Kobe University Graduate School Of Medicine,2
2070,2023,Kobe University Graduate School Of Medicine,2
85,2016,Kings County Hospital Center,2
932,2019,Kings County Hospital Center,2
626,2018,King Faisal Specialist Hospital & Research Center,2
1250,2020,King Faisal Specialist Hospital & Research Center,2
1248,2020,Kendall Regional Medical Center,2
324,2017,Keio University School Of Medicine,2
1804,2022,Keck School Of Medicine,2
322,2017,Johns Hopkins All Children'S Hospital,2
621,2018,Johns Hopkins All Children'S Hospital,2
2064,2023,Johns Hopkins All Children'S Hospital,2
1241,2020,John Peter Smith Hospital,2
1565,2021,John Peter Smith Hospital,2
924,2019,John Hunter Hospital,2
1564,2021,John Hunter Hospital,2
619,2018,International Center For Automotive Medicine,2
2058,2023,Imperial College London,2
914,2019,Hyogo College Of Medicine,2
71,2016,Houston Methodist Hospital,2
610,2018,Hofstra Northwell School Of Medicine,2
69,2016,Hofstra North Shore-Lij School Of Medicine,2
905,2019,Henry Ford Health System,2
2050,2023,Henry Ford Health System,2
308,2017,Harvard Medical School,2
606,2018,Harbor-University Of California Los Angeles Medical Center,2
305,2017,Hagey Laboratory For Pediatric Regenerative Medicine,2
604,2018,Hagey Laboratory For Pediatric Regenerative Medicine,2
1787,2022,Guthrie Clinic,2
602,2018,Guangdong Provincial Hospital Of Chinese Medicine,2
898,2019,Guangdong Hospital Of Tcm,2
600,2018,George Washington University,2
1784,2022,George Washington University,2
1782,2022,Geisinger Commonwealth School Of Medicine,2
59,2016,Galway Clinic,2
2038,2023,Fox Chase Cancer Center,2
57,2016,Florida State University College Of Medicine,2
1217,2020,Florida State University College Of Medicine,2
595,2018,Florida Hospital,2
890,2019,Florida Hospital,2
594,2018,Florida Atlantic University,2
1539,2021,Florida Atlantic University,2
1780,2022,Fiu,2
888,2019,Firefighters Burn And Surgical Research Laboratory,2
593,2018,Federal University Of Parana,2
2032,2023,Federal University Of Health Sciences Of Porto Alegre,2
1535,2021,Emory University School Of Medicine,2
54,2016,Einstein Healthcare Network,2
53,2016,Eastern Virginia Medical School,2
885,2019,Eastern Virginia Medical School,2
590,2018,Eastern Hepatobiliary Surgery Hospital,2
588,2018,East Tennessee State University,2
884,2019,East Tennessee State University,2
1776,2022,East Tennessee State University,2
2025,2023,East Tennessee State University,2
1533,2021,East Carolina University Brody School Of Medicine,2
1775,2022,East Carolina University Brody School Of Medicine,2
2022,2023,Drexel University College Of Medicine,2
880,2019,Donald And Barbara Zucker School Of Medicine At Hofstra/Northwell,2
49,2016,Division Of General Surgery,2
878,2019,Department Of Surgery,2
581,2018,Department Of Emergency Medicine,2
45,2016,Delray Medical Center,2
288,2017,Delray Medical Center,2
580,2018,Delray Medical Center,2
1525,2021,Crozer-Keystone Medical Center,2
578,2018,Cooper University Hospital,2
1199,2020,Cooper University Hospital,2
1523,2021,Cooper University Hospital,2
285,2017,Conemaugh Memorial Medical Center,2
577,2018,Conemaugh Memorial Medical Center,2
2004,2023,Concord Repatriation General Hospital,2
282,2017,Cleveland Clinic,2
1519,2021,Cleveland Clinic,2
39,2016,City Of Hope National Medical Center,2
573,2018,City Of Hope National Medical Center,2
1193,2020,City Of Hope National Medical Center,2
38,2016,Cincinnati Children'S Hospital Medical Center,2
866,2019,Cincinnati Children'S Hospital Medical Center,2
1516,2021,Children'S Mercy Hospital-University Of Missouri Kansas City,2
1761,2022,Children'S Mercy Hospital-University Of Missouri Kansas City,2
862,2019,Children'S Medical Center,2
1514,2021,Children'S Hospital Of Wisconsin,2
273,2017,Children'S Hospital Of Pittsburgh Of Upmc,2
1189,2020,Children'S Hospital Of Pittsburgh Of Upmc,2
27,2016,Children'S Hospital Colorado,2
1756,2022,Children'S Hospital Colorado,2
1509,2021,Children'S Hospital Boston,2
562,2018,Chiba Rosai Hospital,2
561,2018,Cheikh Anta Diop University,2
857,2019,Central Michigan University College Of Medicine,2
1505,2021,Central Michigan University College Of Medicine,2
1988,2023,Center For Surgical Outcomes Research,2
1986,2023,Cedars-Sinai Medical Center,2
19,2016,Case Western Reserve University School Of Medicine,2
853,2019,Case Western Reserve University School Of Medicine,2
1502,2021,Case Western Reserve University School Of Medicine,2
1751,2022,Carolinas Medical Center,2
1984,2023,Carolinas Medical Center,2
1175,2020,Carilion Clinic,2
1498,2021,California Northstate University,2
1170,2020,Broward Health North,2
554,2018,Broward Health Medical Center,2
1494,2021,Brooke Army Medical Center,2
846,2019,Brandon Regional Hospital,2
549,2018,Boston University,2
1161,2020,Baystate Medical Center,2
1970,2023,Baystate Medical Center,2
258,2017,Baylor College Of Medicine & Texas Children'S Hospital,2
838,2019,Austin Health,2
1967,2023,Austin Health,2
1740,2022,Augusta University,2
1738,2022,Ascension Providence Hospital,2
1156,2020,Ariadne Labs,2
1154,2020,Ann And Robert H. Lurie Children'S Hospital Of Chicago,2
833,2019,Ann And Robert H Lurie Children'S Hospital Of Chicago,2
1153,2020,Ann And Robert H Lurie Children'S Hospital Of Chicago,2
535,2018,Ann & Robert H. Lurie Children'S Hospital Of Chicago,2
1485,2021,Ann & Robert H. Lurie Children'S Hospital,2
251,2017,Ann & Robert H Lurie Children'S Hospital Of Chicago,2
5,2016,American College Of Surgeons,2
250,2017,American College Of Surgeons,2
830,2019,American College Of Surgeons,2
4,2016,All Children'S Hospital Johns Hopkins Medicine,2
248,2017,Albert Einstein College Of Medicine,2
1151,2020,Albert Einstein College Of Medicine,2
2,2016,Albany Medical College,2
1959,2023,Albany Medical College,2
527,2018,Aga Khan University Medical College,2
824,2019,Aga Khan University Medical College,2
822,2019,Abrazo Central Hospital,2
821,2019,Abington Memorial Hospital,2
525,2018,Abington Jefferson Health,2
1476,2020,Zucker Som At Hofstra/Northwell Health,1
1143,2019,Zucker School Of Medicine Hofstra Northwell,1
1142,2019,Zucker School Of Medicine At Hofstra/Northwell,1
1475,2020,Zucker School Of Medicine At Hofstra/Northwell,1
1955,2022,Zucker School Of Medicine At Hofstra/Northwell,1
2270,2023,Zucker School Of Medicine At Hofstra/Northwell,1
818,2018,Zhongshan Hospital Fudan University,1
1141,2019,Zhongshan Hospital Fudan University,1
1954,2022,York Hospital,1
240,2016,Yokohama City University,1
522,2017,Yokohama City University,1
1139,2019,Xijing Hospital,1
1473,2020,Xijing Hospital,1
1728,2021,Xi'An Jiaotong University Second Affiliated Hospital,1
1952,2022,Wright State University,1
237,2016,Women And Children'S Hospital Of Buffalo,1
1471,2020,Wolfson Children'S Hospital,1
1470,2020,Willis-Knighton Medical Center,1
814,2018,William S. Middleton Va,1
1137,2019,William S. Middleton Va,1
1726,2021,William S. Middleton Va,1
813,2018,William Beaumont Army Medical Center,1
1725,2021,William Beaumont Army Medical Center,1
1951,2022,William Beaumont Army Medical Center,1
518,2017,Western Michigan University Homer Stryker Md School Of Medicine,1
1136,2019,Western Michigan University Homer Stryker Md School Of Medicine,1
1468,2020,Western Michigan University Homer Stryker Md School Of Medicine,1
1950,2022,Western Michigan University Homer Stryker Md School Of Medicine,1
1467,2020,Western Michigan University,1
2265,2023,Western Michigan University,1
1466,2020,Westchester Medical Center / New York Medical College,1
517,2017,Westchester Medical Center,1
2264,2023,Westchester Medical Center,1
236,2016,West Virginia University/Charleston Division,1
1724,2021,West Virginia University School Of Medicine,1
1949,2022,West Virginia University School Of Medicine,1
2263,2023,West Virginia University School Of Medicine,1
235,2016,West Virginia University,1
1723,2021,West Virginia University,1
2262,2023,West Virginia University,1
1722,2021,West Virginia School Of Medicine,1
1463,2020,West China Hospital Of Sichuan University,1
1947,2022,Wellstar Atlanta Medical Center,1
1462,2020,Wellspan York Hospital,1
233,2016,Wayne State University,1
1946,2022,Wayne State University,1
2260,2023,Wayne State University,1
1720,2021,Washington University In St. Louis,1
1458,2020,Washington University In Saint Louis,1
512,2017,Washington Hospital Center,1
808,2018,Washington Hospital Center,1
1944,2022,Washington Hospital Center,1
231,2016,Warren Alpert Medical School Of Brown University,1
1130,2019,Walter Reed National Military Medical Center,1
1457,2020,Walter Reed National Military Medical Center,1
1718,2021,Walter Reed National Military Medical Center,1
1943,2022,Walter Reed Army Medical Center,1
1717,2021,Wakemed Health & Hospitals,1
1942,2022,Wake Forest University School Of Medicine,1
806,2018,Wakamatsu Hospital Of University Of Occupational And Environmental Health,1
510,2017,Virginia Tech Carilion School Of Medicine,1
805,2018,Virginia Tech Carilion School Of Medicine,1
1941,2022,Virginia Tech Carilion School Of Medicine,1
1127,2019,Virginia Hospital Center,1
1940,2022,Virginia Commonwealth University,1
803,2018,Vilnius University,1
1125,2019,Vilnius University,1
1453,2020,Vilnius University,1
1939,2022,Vilnius University,1
2255,2023,Vilnius University,1
1938,2022,Veterans Affairs New Jersey Health Care System,1
1714,2021,Veterans Affairs Ann Arbor,1
802,2018,Vcu Medical Center,1
1452,2020,Vassar Brothers Medical Center,1
226,2016,Valley Heart And Vascular Institute,1
1123,2019,Valley Health System / Mcallen Medical Center,1
1450,2020,Valley Health System / Mcallen Medical Center,1
507,2017,Va Salt Lake City Health Care System,1
506,2017,Va Palo Alto Healthcare Systems,1
505,2017,Va Northern California Health Care System,1
800,2018,Va North Texas Health Care System,1
1122,2019,Va New York Harbor Healthcare System,1
2253,2023,Va New Jersey Healthcare System,1
1121,2019,Uw Health,1
1448,2020,Uvm Medical Center,1
1935,2022,Utrgv School Of Medicine,1
2252,2023,Utmb,1
2251,2023,Uthsc Com Chattanooga,1
1447,2020,Ut Health San Antonio,1
2250,2023,Usf Health Morsani College Of Medicine,1
2248,2023,Upmc Division Of Surgical Oncology,1
504,2017,Unversity Of Kansas,1
799,2018,Unversity Of Kansas,1
1711,2021,University Teaching Hospital Of Kigali,1
1934,2022,University Radiology At Robert Wood Johnson,1
503,2017,University Of Wiscosin,1
797,2018,University Of Washington,1
1445,2020,University Of Washington,1
2246,2023,University Of Washington,1
795,2018,University Of Vermont Larner College Of Medicine,1
792,2018,University Of Toronto,1
1115,2019,University Of Toronto,1
1929,2022,University Of Toronto,1
2242,2023,University Of Toledo Medical Center,1
790,2018,University Of The Witwatersrand,1
1440,2020,University Of The Witwatersrand,1
2239,2023,University Of Texas Southwestern - Austin,1
1703,2021,University Of Texas Md Anderson Cancer Center,1
786,2018,University Of Texas Health Science Center At San Antonio,1
1922,2022,University Of Texas Health San Antonio,1
1109,2019,University Of Texas At Austin Dell Medical School,1
1433,2020,University Of Texas At Austin Dell Medical School,1
1700,2021,University Of Texas At Austin Dell Medical School,1
213,2016,University Of Tennessee Medical Canter At Knoxville,1
1699,2021,University Of Tennessee Health Science Center,1
211,2016,University Of Tennessee Graduate School Of Medicine,1
783,2018,University Of Tennessee Graduate School Of Medicine,1
1431,2020,University Of Tennessee Graduate School Of Medicine,1
1698,2021,University Of Tennessee College Of Medicine,1
1107,2019,University Of Tennessee Chattanooga,1
1697,2021,University Of Tennessee Chattanooga,1
1919,2022,University Of Tennessee Chattanooga,1
2233,2023,University Of Tennesse Health Sciences,1
1430,2020,University Of Szeged,1
1106,2019,University Of Sydney,1
2232,2023,University Of Sydney,1
210,2016,University Of Southern California,1
1105,2019,University Of Southern California,1
487,2017,University Of South Florida College Of Medicine,1
1695,2021,University Of South Florida College Of Medicine,1
2229,2023,University Of South Dakota,1
1103,2019,University Of South Alabama,1
1694,2021,University Of South Alabama,1
1426,2020,University Of Sao Paulo,1
1101,2019,University Of Puerto Rico School Of Medicine,1
2226,2023,University Of Puerto Rico School Of Medicine,1
1692,2021,University Of Port Harcourt,1
2224,2023,University Of Oxford,1
484,2017,University Of Ottawa,1
2223,2023,University Of Ottawa,1
483,2017,University Of Otago,1
206,2016,University Of Oklahoma College Of Medicine,1
776,2018,University Of Oklahoma College Of Medicine,1
2221,2023,University Of Oklahoma - Tulsa,1
2220,2023,University Of North Dakota School Of Medicine And Health Sciences,1
1098,2019,University Of North Carolina At Charlotte,1
1689,2021,University Of North Carolina At Charlotte,1
1420,2020,University Of Nigeria,1
1687,2021,University Of Newcastle,1
1418,2020,University Of New Mexico Hsc,1
1912,2022,University Of New Mexico Hsc,1
2218,2023,University Of New Mexico Hsc,1
773,2018,University Of Nevada,1
1417,2020,University Of Nevada,1
1911,2022,University Of Nevada,1
478,2017,University Of Modena And Reggio Emilia,1
1094,2019,University Of Mississippi,1
2216,2023,University Of Mississippi,1
