,smart_institution5,count
786,Christian Medical College,1
787,Cincinnati Children'S Hospital Medical Center (Cchmc),1
788,Children'S Hospital Los Angeles/The Saban Research Institute,1
789,Cincinnati Childrens Hospital And Medical Center,1
790,Cincinnati Childrens'S Hospital Medical Center,1
791,Cmc Hospital,1
792,Crown Princess Mary Cancer Centre,1
793,Crozer Health,1
794,Cuny School Of Medicine,1
795,Dalhousie University,1
796,Children'S Hospital Of Michigan,1
797,Children'S Hospital At Oklahoma University Medicine,1
798,Carle Illinois College Of Medicine,1
799,Centre For Biomedical Technologies,1
800,Carnegie Mellon University,1
801,Center For Fetal And Placental Research,1
802,Center For Global Surgical Studies,1
803,Center For Healthcare Outcomes & Policy (Chop),1
804,Center For Innovations In Quality,1
805,Center For Perinatal Research,1
806,Center Of Advanced Surgical Oncology,1
807,Centre For Research On The Epidemiology Of Disasters -  Universitt Catholique De Louvain,1
808,Children'S Health,1
809,Centre Hospitalier De L'Universit De Montral,1
810,Centro Mtdico Abc,1
811,Chandler Regional Medical Center,1
812,Chang Gung Memorial Hospital,1
813,Chelsea And Westminster Hospital Nhs Trust,1
814,Chicago Medical School At Rosalind Franklin University,1
815,Children Mercy'S Hospital,1
816,Jaber Alahmad Alsabah Hospital,1
817,Japanese Red Cross Maebashi Hospital,1
818,Simpson Querrey Institute For Bionanotechnology,1
819,Physis Group,1
820,Ouhsc,1
821,Pacific Northwest University Of Health Sciences,1
822,Panzi Hospital,1
823,Penn State Children'S Hospital,1
824,Pennsylvania State University College Of Medicine,1
825,Peter Maccallum Cancer Centre,1
826,Physiotherapy Dept. Health Sciences,1
827,Price Institute Of Of Surgical Research And The Section Of Colorectal Surgery,1
828,Orlando Health,1
829,Prince Of Wales Hospital,1
830,Prince Sultan Military Medical City,1
831,Promedica Health System,1
832,Providence Portland Cancer Center,1
833,Qassim University,1
834,Queen Elizabeth Central Hospital,1
835,Queen Mary,1
836,Osf St. Francis Medical Center,1
837,Okinawa Chubu Hospital,1
838,Rady Children'S Hospital,1
839,Noveome Biotherapeutic,1
840,Northwell Health System,1
841,Northwell Health System - Long Island Jewish Medical Center,1
842,Northwell Northshore/Long Island Jewish,1
843,Northwestern Memorial Hospital,1
844,Northwestern University Feinberg School Of Medicine And Ann & Robert H. Lurie Childrens Hospital Of Chicago,1
845,Nova Southeastern University Dr Kiran C Patel College Of Allopathic Medicine,1
846,Nova Southeastern University Dr. Kiran C Patel College Of Allopathic Medicine,1
847,Nyc Health +Hospitals/ Elmhurst,1
848,Okayama University Graduate School Of Medicine,1
849,Nyu Grossman School Of Medicine,1
850,Nyu Langone Hospital - Long Island,1
851,Nyu Langone Hospital-Brooklyn,1
852,Nyu Winthrop Hospital,1
853,Ocala Health,1
854,Ocala Regional Medical Center,1
855,Ochsner Clinic Foundation,1
856,Rabin Medical Center,1
857,Rady Children'S Hospital - San Diego,1
858,Northwell - Staten Island University Hospital,1
859,Scripps Health,1
860,Samford University,1
861,San Antonio Military Medical Center,1
862,San Francisco General Hospital And The University Of California,1
863,San Francisco State University,1
864,Sandeman Provinical Hospital/Bolan Medical College,1
865,Sapporo Ishiyama Hospital,1
866,Sapporo Medical University Hospital,1
867,Second Trial Coordinating Center,1
868,Saint James School Of Medicine,1
869,Sefako Makgatho Health Sciences University,1
870,Semmelweis University,1
871,Sentara Healthcare,1
872,Shady Side Academy,1
873,Shinshu Medical University,1
874,Shizuoka Children'S Hospital,1
875,Shore Regional,1
876,Saint Mary'S Hospital,1
877,Saint Elizabeth Medical Center,1
878,Rady Children'S Hospital San Diego,1
879,Royal Free Hospital Nhs Foundation Trust,1
880,Rady Children'S Hospital/ Uc San Diego,1
881,Rainbow Babies And Children'S Hospital,1
882,Reid Plastic & Reconstructive Surgery,1
883,Rhodes College,1
884,Rigshospitalet,1
885,Riverside University Health System,1
886,Robert H. Lurie Comprehensive Cancer Center,1
887,Royal Prince Alfred Hospital,1
888,Saint Boniface Hospital,1
889,Rush Medical College,1
890,Russells Hall Hospital,1
891,Rutgers Rwjms,1
892,Rutgers School Of Biomedical Sciences,1
893,Rutgers School Of Dental Medicine,1
894,Rwj/Barnabas Health Community Medical Center,1
895,Sacramento Va Medical Center,1
896,Northwell Health North Shore/Long Island Jewish Hospital,1
897,Northwell,1
898,Jefferson Pancreatic,1
899,Latin American School Of Medicine (Elam),1
900,King George'S Medical University (Kgmu),1
901,King'S College Hospital Nhs Foundation Trust,1
902,King'S Mill Hospital,1
903,Kyoto University,1
904,Laboratory For Regenerative Tissue Repair,1
905,Lagos University Teaching Hospital,1
906,Lankenau Medical Center,1
907,Lebanon Valley College,1
908,Kinan Hospita,1
909,Legacy Good Samaritan Medical Center,1
910,Leiden University Medical Center,1
911,Lincoln Medical Center,1
912,Loyola University Chicago,1
913,Loyola Universtiy Medical Center,1
914,Macquarie University,1
915,Magee-Womens Research Institute,1
916,King Chulalongkorn Memorial Hospital,1
917,Kidsor,1
918,Marshall Institute For Interdisciplinary Research,1
919,Kagoshima University,1
920,Jellison Cancer Institute/ Florida State University,1
921,Jellison Cancer Institute/ Florida State University College Of Medicine,1
922,Jellison Cancer Institute/Florida State University College Of Medicine,1
923,Jesse Brown Va Medical Center,1
924,Joe Dimaggio Children'S Hospital,1
925,John D. Dingell Va Medical Center,1
926,John Wayne Cancer Institute/Providence St. John'S Medical Center,1
927,Kampala International University Western Campus,1
928,Kibungo Referral Hospital,1
929,Kamuzu Central Hospital,1
930,Karmanos Cancer Institute,1
931,Karolinska Institutet,1
932,Kashiwa Kosei General Hospital,1
933,Keck Medical Center Of University Of Southern California,1
934,Keck School Of Medicine Of The University Of Southern California,1
935,Keio Universiry,1
936,Marin General Hospital,1
937,Marshall University Joan C. Edwards School Of Medicine,1
938,Northernontario School Of Medicne,1
939,Nemours/Alfred I Dupont Hospital For Children,1
940,Morristown Medical Center,1
941,Mount Sinai St. Luke'S Roosevelt General Surgery Residency Program,1
942,Mountain Area Health Education Center,1
943,Musc,1
944,Nemour'S Children'S Hospital; University Of Central Florida,1
945,Nemours Alfred I Dupot Hospital For Children,1
946,Nemours Children'S Health System,1
947,Nepal Medical College And Teaching Hospital,1
948,Monroe Carell Jr. Childrens Hospital At Vanderbilt,1
949,Neurological Institute Of Thailand,1
950,Aberdeen Royal Infirmary,1
951,New York University Langone Health,1
952,New York University Langone Hospital - Long Island,1
953,North Florida/South Georgia Veterans Health System,1
954,North Shore University Hospital And Long Island Jewish Medical Center,1
955,Northern Ontario School Of Medicine(Nosm) University,1
956,Moores Cancer Center,1
957,Monroe Carell,1
958,Mary Bridge Children'S Health Center,1
959,Mbarara University Of Science And Technology,1
960,Mater Adult Brisbane Hospital,1
961,Mater Infirmorum,1
962,Matsushima Hospital,1
963,Maulana Azad Medical College,1
964,Mayo Clinic - Rochester,1
965,Mayo Clinic Rochester,1
966,Mayo Medical School,1
967,Mccallum Place,1
968,Monmouth Medical Center,1
969,Mcmaster University,1
970,Medical College Of Georgia At Augusta University,1
971,Mending Kids,1
972,Metroderm,1
973,Miami Valley Hospital,1
974,Missouri State University,1
975,Moi Teaching And Referral Hospital,1
976,Zucker Som At Hofstra/Northwell Health,1
