,smart_institution3,smart_institution2,count,total_count,smart_institution4
365,Geisinger Medical Center,Geisinger Medical Center,16,25,
362,Geisinger Medical Center,Geisinger,4,25,
363,Geisinger Medical Center,Geisinger Health System,3,25,
364,Geisinger Medical Center,Geisinger Medical Canter,1,25,
366,Geisinger Medical Center,Geisinger Surgery Institute,1,25,
1384,University Of Oklahoma College Of Medicine,University Of Oklahoma College Of Medicine,23,24,
1383,University Of Oklahoma College Of Medicine,University Of Oklahoma,1,24,
299,East Carolina University Brody School Of Medicine,East Carolina University Brody School Of Medicine,23,23,
26,Albany Medical College,Albany Medical College,21,23,
25,Albany Medical College,Albany Medical Center,2,23,
1119,The Jikei University School Of Medicine,The Jikei University School Of Medicine,17,22,
1117,The Jikei University School Of Medicine,Jikei University School Of Medicine,4,22,
1118,The Jikei University School Of Medicine,The Jike University School Of Medicine,1,22,
370,George Washington University School Of Medicine And Health Sciences,George Washington University School Of Medicine And Health Sciences,22,22,
288,Drexel University College Of Medicine,Drexel University College Of Medicine,20,22,
287,Drexel University College Of Medicine,Drexel University,1,22,
289,Drexel University College Of Medicine,Hahnemann University Hospital/Drexel University College Of Medicine,1,22,
173,Children'S Hospital Colorado,Children'S Hospital Colorado,22,22,
1405,University Of South Alabama,University Of South Alabama,20,21,
1406,University Of South Alabama,University Of South Alabama Medical Center,1,21,
1008,St. Luke'S University Health Network,St. Luke'S University Health Network,15,21,
1010,St. Luke'S University Health Network,St. Lukes University Health Network,2,21,
1011,St. Luke'S University Health Network,University Health Network,2,21,
1007,St. Luke'S University Health Network,St Luke'S University Health Network,1,21,
1009,St. Luke'S University Health Network,St. Luke'S University Hospital,1,21,
909,Robert Wood Johnson - Umdnj,Robert Wood Johnson - Umdnj,21,21,
1374,University Of New Mexico Hsc,University Of New Mexico Hsc,16,20,
1373,University Of New Mexico Hsc,University Of New Mexico,4,20,
213,Cincinnati Children'S Hospital Medical Center,Cincinnati Children'S Hospital Medical Center,20,20,
46,Ann & Robert H. Lurie Children'S Hospital Of Chicago,Ann & Robert H. Lurie Children'S Hospital Of Chicago,18,20,
47,Ann & Robert H. Lurie Children'S Hospital Of Chicago,Ann & Robert H. Lurie Childrens Hospital Of Chicago,2,20,
27,Albert Einstein College Of Medicine,Albert Einstein College Of Medicine,10,20,
30,Albert Einstein College Of Medicine,Albert Einstein Medical Center,3,20,
32,Albert Einstein College Of Medicine,Montefiore Medical Center/ Albert Einstein College Of Medicine,2,20,
33,Albert Einstein College Of Medicine,Montefiore Medical Center/Albert Einstein College Of Medicine,2,20,
28,Albert Einstein College Of Medicine,Albert Einstein College Of Medicine / Montefiore Medical Center,1,20,
29,Albert Einstein College Of Medicine,Albert Einstein College Of Medicine And Montefiore Medical Center,1,20,
31,Albert Einstein College Of Medicine,Einstein Medical Center,1,20,
946,Saint Barnabas Medical Center,Saint Barnabas Medical Center,19,19,
237,Cooper University Hospital,Cooper University Hospital,17,19,
236,Cooper University Hospital,Cooper Medical School Of Rowan University,2,19,
1320,University Of Illinois At Chicago,University Of Illinois At Chicago,18,18,
900,Rhode Island Hospital,Rhode Island Hospital,13,18,
897,Rhode Island Hospital,Brown University - Rhode Island Hospital,1,18,
898,Rhode Island Hospital,Brown University / Rhode Island Hospital,1,18,
899,Rhode Island Hospital,Brown University Medical School/Rhode Island Hospital,1,18,
901,Rhode Island Hospital,Rhode Island Hospital/The Warren Alpert Medical School At Brown University,1,18,
902,Rhode Island Hospital,The Miriam Hospital In Rhode Island,1,18,
660,Metrohealth Medical Center,Metrohealth Medical Center,18,18,
729,New York Presbyterian Hospital,New York Presbyterian Hospital,10,17,
728,New York Presbyterian Hospital,New York Presbyterian Brooklyn Methodist Hospital,3,17,
730,New York Presbyterian Hospital,New York Presbyterian Hospital-Columbia,1,17,
731,New York Presbyterian Hospital,New York Presbyterian/Columbia University Medical Center,1,17,
732,New York Presbyterian Hospital,New York-Presbyterian-Cornell,1,17,
733,New York Presbyterian Hospital,Weill Cornell Medicine / New York Presbyterian Hospital,1,17,
450,Houston Methodist Hospital,Houston Methodist Hospital,12,17,
449,Houston Methodist Hospital,Houston Methodist,2,17,
452,Houston Methodist Hospital,Methodist Hospital,2,17,
451,Houston Methodist Hospital,Houston Methodist Research Institute,1,17,
239,Creighton University Medical Center,Creighton University Medical Center,16,17,
238,Creighton University Medical Center,Creighton University,1,17,
218,City Of Hope National Medical Center,City Of Hope National Medical Center,16,17,
219,City Of Hope National Medical Center,Hospital Of Hope,1,17,
119,Broward Health Medical Center,Broward Health Medical Center,16,17,
118,Broward Health Medical Center,Broward Health,1,17,
1576,Westchester Medical Center,Westchester Medical Center,15,16,
1577,Westchester Medical Center,Westchester Medical Center University Hospital,1,16,
1573,West Virginia University,West Virginia University,16,16,
967,Seattle Children'S Hospital,Seattle Children'S Hospital,16,16,
639,Medical College Of Georgia,Medical College Of Georgia,15,16,
640,Medical College Of Georgia,University Of Georgia,1,16,
424,Henry Ford Health System,Henry Ford Health System,10,16,Henry Ford Health System
425,Henry Ford Health System,Henry Ford Hospital,6,16,Henry Ford Health System
283,Donald And Barbara Zucker School Of Medicine At Hofstra/Northwell,Donald And Barbara Zucker School Of Medicine At Hofstra/Northwell,15,16,
284,Donald And Barbara Zucker School Of Medicine At Hofstra/Northwell,Zucker School Of Medicine,1,16,
1298,University Of Colorado School Of Medicine,University Of Colorado School Of Medicine,14,15,University Of Colorado Denver
1299,University Of Colorado School Of Medicine,University Of Colorado School Of Medicne,1,15,University Of Colorado Denver
889,Radboudumc,Radboudumc,15,15,
858,Perelman School Of Medicine,Perelman School Of Medicine,12,15,Hospital Of The University Of Pennsylvania
859,Perelman School Of Medicine,Perelman School Of Medicine At University Of Pennsylvania,1,15,Hospital Of The University Of Pennsylvania
860,Perelman School Of Medicine,University Of Pennsylvania - Perelman School Of Medicine,1,15,Hospital Of The University Of Pennsylvania
861,Perelman School Of Medicine,University Of Pennsylvania Perelman School Of Medicine,1,15,Hospital Of The University Of Pennsylvania
647,Medstar Health Research Institute,Medstar Health Research Institute,15,15,
572,Lehigh Valley Health Network,Lehigh Valley Health Network,15,15,
342,Florida Atlantic University,Florida Atlantic University,15,15,
1443,University Of Texas Health Science Center At San Antonio,University Of Texas Health Science Center At San Antonio,14,14,
1028,State University Of New York Downstate Medical Center,State University Of New York Downstate Medical Center,12,14,
1027,State University Of New York Downstate Medical Center,State University Of New York Downstate,2,14,
886,Radboud University Medical Center,Radboud University Medical Center,11,14,
888,Radboud University Medical Center,Radboud University Nijmegen Medical Center,2,14,
887,Radboud University Medical Center,Radboud University Medical Centre,1,14,
608,Marshall University School Of Medicine,Marshall University School Of Medicine,8,14,
609,Marshall University School Of Medicine,Marshall University Schoool Of Medicine,5,14,
607,Marshall University School Of Medicine,Marshall University School Of Medcine,1,14,
435,Holy Cross Hospital,Holy Cross Hospital,8,14,
434,Holy Cross Hospital,Holy Cross Health,5,14,
436,Holy Cross Hospital,University Of Miami Miller School Of Medicine - Holy Cross,1,14,
398,Guthrie Robert Packer Hospital,Guthrie Robert Packer Hospital,13,14,
397,Guthrie Robert Packer Hospital,Guthrie / Robert Packer Hospital,1,14,
395,Guthrie Clinic,Guthrie Clinic,13,14,
396,Guthrie Clinic,The Guthrie Clinic,1,14,
308,Eastern Virginia Medical School,Eastern Virginia Medical School,14,14,
226,Columbia University College Of Physicians And Surgeons,Columbia University College Of Physicians And Surgeons,14,14,
172,Children'S Hospital Boston,Children'S Hospital Boston,14,14,
97,Boston Children'S Hospital,Boston Children'S Hospital,14,14,
992,Southern Illinois University School Of Medicine,Southern Illinois University School Of Medicine,13,13,
697,National University Of Rwanda,National University Of Rwanda,7,13,
698,National University Of Rwanda,University Of Rwanda,6,13,
648,Medstar Washington Hospital Center,Medstar Washington Hospital Center,13,13,
6,Abington Memorial Hospital,Abington Memorial Hospital,11,13,
5,Abington Memorial Hospital,Abington Hospital,1,13,
7,Abington Memorial Hospital,Memorial University Medical Center,1,13,
1466,University Of Toronto,University Of Toronto,12,12,
1289,University Of Colorado Anschutz Medical Campus,University Of Colorado Anschutz Medical Campus,6,12,University Of Colorado Denver
1291,University Of Colorado Anschutz Medical Campus,University Of Colorado-Anschutz Medical Campus,3,12,University Of Colorado Denver
1290,University Of Colorado Anschutz Medical Campus,University Of Colorado Anschutz Medical Center,2,12,University Of Colorado Denver
1288,University Of Colorado Anschutz Medical Campus,University Of Colorado Anschtuz Medical Campus,1,12,University Of Colorado Denver
1268,University Of Cambridge,University Of Cambridge,9,12,
1266,University Of Cambridge,Cambridge University Hospitals Nhs Foundation Trust,2,12,
1267,University Of Cambridge,Cambridge University Medical School,1,12,
1148,Tokyo Medical And Dental University,Tokyo Medical And Dental University,10,12,
1149,Tokyo Medical And Dental University,Tokyo Medical University,1,12,
1150,Tokyo Medical And Dental University,Tokyo Medical University Hospital,1,12,
951,Saint Louis University School Of Medicine,Saint Louis University School Of Medicine,9,12,
950,Saint Louis University School Of Medicine,Saint Louis University,3,12,
870,Price Institute Of Surgical Research,Price Institute Of Surgical Research,10,12,
869,Price Institute Of Surgical Research,Price Institue Of Surgical Research,1,12,
871,Price Institute Of Surgical Research,Price Institute Of Surgical Research And The Section Of Colorectal Surgery,1,12,
844,Penn Medicine Lancaster General Health,Penn Medicine Lancaster General Health,9,12,
845,Penn Medicine Lancaster General Health,Penn Medicine Lancaster General Hospital,3,12,
772,Northwestern University Feinberg School Of Medicine,Northwestern University Feinberg School Of Medicine,12,12,Northwestern University
762,Northwell Health,Northwell Health,12,12,
726,New York Medical College,New York Medical College,12,12,
694,National Cancer Institute,National Cancer Institute,12,12,
622,Mayo Clinic - Florida,Mayo Clinic - Florida,12,12,
533,Keio University School Of Medicine,Keio University School Of Medicine,5,12,
531,Keio University School Of Medicine,Duke University School Of Medicine,4,12,Duke University Medical Center
532,Keio University School Of Medicine,Keio University,3,12,
506,Johns Hopkins Bloomberg School Of Public Health,Johns Hopkins Bloomberg School Of Public Health,7,12,Johns Hopkins University School Of Medicine
508,Johns Hopkins Bloomberg School Of Public Health,Johns Hopkins University Bloomberg School Of Public Health,2,12,Johns Hopkins University School Of Medicine
509,Johns Hopkins Bloomberg School Of Public Health,Johns Hopkins University School Of Public Health,2,12,Johns Hopkins University School Of Medicine
507,Johns Hopkins Bloomberg School Of Public Health,Johns Hopkins School Of Public Health,1,12,Johns Hopkins University School Of Medicine
407,Harbor-Ucla Medical Center,Harbor-Ucla Medical Center,5,12,
404,Harbor-Ucla Medical Center,Harbor Ucla Medical Center,3,12,
406,Harbor-Ucla Medical Center,Harbor-Ucla,2,12,
405,Harbor-Ucla Medical Center,Harbor- Ucla,1,12,
408,Harbor-Ucla Medical Center,Ucla And Harbor-Ucla,1,12,
598,Madigan Army Medical Center,Madigan Army Medical Center,11,11,
559,Laboratory For Fetal And Regenerative Biology,Laboratory For Fetal And Regenerative Biology,10,11,
558,Laboratory For Fetal And Regenerative Biology,Laboratory For Fetal & Regenerative Biology,1,11,
41,American College Of Surgeons,American College Of Surgeons,11,11,
1370,University Of Nevada,University Of Nevada,4,10,
1372,University Of Nevada,University Of Nevada School Of Medicine,4,10,
1371,University Of Nevada,University Of Nevada Las Vegas School Of Medicine,2,10,
1361,University Of Mississippi,University Of Mississippi,7,10,
1362,University Of Mississippi,University Of Mississippi Medical Center,3,10,
1241,University Of Auckland,University Of Auckland,8,10,
1240,University Of Auckland,Auckland City Hospital,2,10,
982,Sinai Hospital Of Baltimore,Sinai Hospital Of Baltimore,10,10,
704,Naval Medical Research Unit San Antonio,Naval Medical Research Unit San Antonio,7,10,
705,Naval Medical Research Unit San Antonio,Naval Medical Research Unit-San Antonio,2,10,
703,Naval Medical Research Unit San Antonio,Naval Medical Center,1,10,
668,Michigan State University,Michigan State University,10,10,
499,John Hunter Hospital,John Hunter Hospital,10,10,
273,Department Of Surgery,Department Of Surgery,10,10,
258,Dartmouth Medical School,Dartmouth Medical School,10,10,Dartmouth Hitchcock Medical Center
185,Children'S Hospital Of Wisconsin,Children'S Hospital Of Wisconsin,10,10,
50,Ann And Robert H. Lurie Children'S Hospital Of Chicago,Ann And Robert H. Lurie Children'S Hospital Of Chicago,9,10,
51,Ann And Robert H. Lurie Children'S Hospital Of Chicago,Ann And Robert H. Lurie Childrens Hospital Of Chicago,1,10,
1424,University Of Tennessee Graduate School Of Medicine,University Of Tennessee Graduate School Of Medicine,9,9,
1166,Uab,Uab,6,9,University Of Alabama At Birmingham
1167,Uab,Uab School Of Medicine,3,9,University Of Alabama At Birmingham
849,Penn State Health Milton S. Hershey Medical Center,Penn State Health Milton S. Hershey Medical Center,3,9,Penn State Hershey Medical Center
850,Penn State Health Milton S. Hershey Medical Center,Penn State Milton S. Hershey Medical Center,3,9,Penn State Hershey Medical Center
847,Penn State Health Milton S. Hershey Medical Center,Milton S. Hershey Medical Center,1,9,Penn State Hershey Medical Center
848,Penn State Health Milton S. Hershey Medical Center,Penn State Health Milton S Hershey Medical Center,1,9,Penn State Hershey Medical Center
851,Penn State Health Milton S. Hershey Medical Center,Pennstate Health Milton S. Hershey Medical Center,1,9,Penn State Hershey Medical Center
553,Kobe University Graduate School Of Medicine,Kobe University Graduate School Of Medicine,8,9,
552,Kobe University Graduate School Of Medicine,Kobe University,1,9,
503,Johns Hopkins All Children'S Hospital,Johns Hopkins All Children'S Hospital,8,9,
504,Johns Hopkins All Children'S Hospital,Johns Hopkins All Childrens Hospital,1,9,
469,Imperial College London,Imperial College London,8,9,
468,Imperial College London,Imperial College,1,9,
360,Geisel School Of Medicine At Dartmouth,Geisel School Of Medicine At Dartmouth,8,9,Dartmouth Hitchcock Medical Center
359,Geisel School Of Medicine At Dartmouth,Geisel School Of Medicine,1,9,Dartmouth Hitchcock Medical Center
182,Children'S Hospital Of Pittsburgh Of Upmc,Children'S Hospital Of Pittsburgh Of Upmc,6,9,
183,Children'S Hospital Of Pittsburgh Of Upmc,Childrens Hospital Of Pittsburgh Of Upmc,2,9,
184,Children'S Hospital Of Pittsburgh Of Upmc,Upmc,1,9,University Of Pittsburgh
83,Baystate Medical Center,Baystate Medical Center,7,9,
84,Baystate Medical Center,Umass Chan Medical School- Baystate,1,9,
85,Baystate Medical Center,Umass Chan Medical School-Baystate,1,9,
1560,Washington University In St. Louis,Washington University In St. Louis,5,8,
1559,Washington University In St. Louis,St. Louis University,3,8,
1181,Uniformed Services University Of The Health Sciences,Uniformed Services University Of The Health Sciences,6,8,
1182,Uniformed Services University Of The Health Sciences,Uniformed Services University Of The Health Sciences & The Walter Reed National Military Medical Center,1,8,
1183,Uniformed Services University Of The Health Sciences,Uniformed Services University Of The Health Sciences And Walter Reed National Military Medical Center,1,8,
1092,The Alfred Hospital,The Alfred Hospital,5,8,
1090,The Alfred Hospital,Alfred Hospital,2,8,
1091,The Alfred Hospital,The Alfred,1,8,
1030,Staten Island University Hospital,Staten Island University Hospital,8,8,
746,Newyork-Presbyterian Queens Hospital,Newyork-Presbyterian Queens Hospital,3,8,
743,Newyork-Presbyterian Queens Hospital,New York Presbyterian Queens,2,8,
744,Newyork-Presbyterian Queens Hospital,New York-Presbyterian/Queens,1,8,
745,Newyork-Presbyterian Queens Hospital,Newyork-Presbyterian Queens,1,8,
747,Newyork-Presbyterian Queens Hospital,Newyork-Presbyterian/Queens,1,8,
649,Meharry Medical College,Meharry Medical College,8,8,
580,Loma Linda University School Of Medicine,Loma Linda University School Of Medicine,8,8,
361,Geisinger Commonwealth School Of Medicine,Geisinger Commonwealth School Of Medicine,8,8,
190,Children'S Mercy Hospital,Children'S Mercy Hospital,7,8,
191,Children'S Mercy Hospital,Mercy Medical Center,1,8,
154,Central Michigan University College Of Medicine,Central Michigan University College Of Medicine,7,8,
155,Central Michigan University College Of Medicine,Michigan Medicine University Of Michigan,1,8,
115,Brooke Army Medical Center,Brooke Army Medical Center,8,8,
60,Ascension Providence Hospital,Ascension Providence Hospital,7,8,
59,Ascension Providence Hospital,Ascension Providence,1,8,
1592,Women And Children'S Hospital Of Buffalo,Women And Children'S Hospital Of Buffalo,6,7,
1593,Women And Children'S Hospital Of Buffalo,Women And Childrens Hospital Of Buffalo,1,7,
1555,Washington Hospital Center,Washington Hospital Center,7,7,
1505,Ut Southwestern Medical Center,Ut Southwestern Medical Center,7,7,University Of Texas Southwestern Medical Center
1492,University Of Wisconsin-Madison,University Of Wisconsin-Madison,6,7,University of Wisconsin
1491,University Of Wisconsin-Madison,University Of Wisconsin - Madison,1,7,University of Wisconsin
1386,University Of Oklahoma Health Sciences Center,University Of Oklahoma Health Sciences Center,5,7,
1385,University Of Oklahoma Health Sciences Center,University Of Oklahoma Health Science Center,2,7,
1377,University Of North Carolina,University Of North Carolina,7,7,
1226,University Of Alberta,University Of Alberta,7,7,
1105,The Feinstein Institute For Medical Research,Feinstein Institute For Medical Research,2,7,
1108,The Feinstein Institute For Medical Research,The Feinstein Institute For Medical Research,2,7,
1106,The Feinstein Institute For Medical Research,Feinstein Institute Of Medical Research,1,7,
1107,The Feinstein Institute For Medical Research,Feinstein Institutes For Medical Research,1,7,
1109,The Feinstein Institute For Medical Research,The Feinstein Institutes For Medical Research,1,7,
963,Scott & White Healthcare,Scott & White Healthcare,7,7,
957,San Joaquin General Hospital,San Joaquin General Hospital,7,7,
876,Program In Global Surgery And Social Change,Program In Global Surgery And Social Change,7,7,
775,Nova Southeastern University,Nova Southeastern University,7,7,
600,Maine Medical Center,Maine Medical Center,7,7,
551,Kings County Hospital Center,Kings County Hospital Center,6,7,
550,Kings County Hospital Center,King University,1,7,
546,King'S College London,King'S College London,3,7,
547,King'S College London,King'S College London School Of Medicine,2,7,
548,King'S College London,University College London,2,7,
473,Inova Fairfax Hospital,Inova Fairfax Hospital,7,7,
399,Hackensack Meridian Health,Hackensack Meridian Health,4,7,
400,Hackensack Meridian Health,Hackensack University Medical Center,3,7,
344,Florida State University College Of Medicine,Florida State University College Of Medicine,7,7,
302,East Tennessee State University,East Tennessee State University,7,7,
126,California Northstate University,California Northstate University,7,7,
14,Adventhealth Orlando,Adventhealth Orlando,4,7,
13,Adventhealth Orlando,Advent Health Orlando,3,7,
1602,Yale New Haven Hospital,Yale New Haven Hospital,4,6,Yale University School Of Medicine
1601,Yale New Haven Hospital,Yale New Haven Health,2,6,Yale University School Of Medicine
1451,University Of Texas Rio Grande Valley School Of Medicine,University Of Texas Rio Grande Valley School Of Medicine,5,6,
1452,University Of Texas Rio Grande Valley School Of Medicine,University Of Texas Rio Grande Valley School Of Medicine/ Ut Health Rio Grande Valley,1,6,
1202,University At Buffalo Jacobs School Of Medicine And Biomedical Sciences,University At Buffalo Jacobs School Of Medicine And Biomedical Sciences,3,6,
1201,University At Buffalo Jacobs School Of Medicine And Biomedical Sciences,Jacobs School Of Medicine And Biomedical Sciences,2,6,
1203,University At Buffalo Jacobs School Of Medicine And Biomedical Sciences,University At Buffalo School Of Medicine And Biomedical Sciences,1,6,
1100,The Children'S Hospital Of Alabama,The Children'S Hospital Of Alabama,6,6,The Children'S Hospital Of Alabama
924,Rutgers Cancer Institute Of New Jersey,Rutgers Cancer Institute Of New Jersey,3,6,
923,Rutgers Cancer Institute Of New Jersey,Cancer Institute Of New Jersey,2,6,
925,Rutgers Cancer Institute Of New Jersey,The Cancer Institute Of New Jersey,1,6,
910,Rocky Vista University,Rocky Vista University,6,6,
827,Orlando Regional Medical Center,Orlando Regional Medical Center,5,6,
826,Orlando Regional Medical Center,Orlando Health Orlando Regional Medical Center,1,6,
784,Nyu Langone Health,Nyu Langone Health,4,6,
785,Nyu Langone Health,Nyu Langone Hospital,1,6,
786,Nyu Langone Health,The Nyu Grossman School Of Medicine And Nyu Langone Health,1,6,
679,Montefiore Medical Center,Montefiore Medical Center,5,6,
680,Montefiore Medical Center,Montefiore Medical Center/Albert Einstien College Of Medicine,1,6,
655,Mercer University School Of Medicine,Mercer University School Of Medicine,4,6,
653,Mercer University School Of Medicine,Makerere University School Of Medicine,1,6,
654,Mercer University School Of Medicine,Memorial University Medical Center-Mercer University School Of Medicine,1,6,
579,Loma Linda University Children'S Hospital,Loma Linda University Children'S Hospital,6,6,
575,Lewis Katz School Of Medicine,Lewis Katz School Of Medicine,6,6,
561,Lac+Usc Medical Center,Lac+Usc Medical Center,3,6,
562,Lac+Usc Medical Center,Usc,3,6,
266,Denver Health Medical Center,Denver Health Medical Center,6,6,
230,Concord Repatriation General Hospital,Concord Repatriation General Hospital,4,6,
229,Concord Repatriation General Hospital,Concord Hospital,2,6,
188,Children'S Memorial Hermann Hospital,Children'S Memorial Hermann Hospital,3,6,
189,Children'S Memorial Hermann Hospital,Memorial Hermann Hospital,3,6,
106,Brandon Regional Hospital,Brandon Regional Hospital,6,6,
53,Anne Arundel Medical Center,Anne Arundel Medical Center,6,6,
1585,Westmead Hospital,Westmead Hospital,5,5,
1554,Warren Alpert Medical School Of Brown University,Warren Alpert Medical School Of Brown University,3,5,
1552,Warren Alpert Medical School Of Brown University,Alpert Medical School Of Brown University,1,5,
1553,Warren Alpert Medical School Of Brown University,The Warren Alpert Medical School Of Brown University,1,5,
1533,Vilnius University,Vilnius University,3,5,
1532,Vilnius University, Vilnius University,1,5,
1534,Vilnius University,"Vilnius University Hospital ""Santaros Klinikos""",1,5,
1409,University Of South Florida,University Of South Florida,5,5,University Of South Florida College Of Medicine
1242,University Of British Columbia,University Of British Columbia,5,5,
1124,The Mount Sinai Hospital,The Mount Sinai Hospital,5,5,
1123,The Medical University Of South Carolina,The Medical University Of South Carolina,5,5,
1050,Suny Upstate Medical University,Suny Upstate Medical University,4,5,
1051,Suny Upstate Medical University,Upstate Medical University,1,5,
944,Saint Agnes Hospital,Saint Agnes Hospital,2,5,
942,Saint Agnes Hospital,Ascension Saint Agnes Healthcare,1,5,
943,Saint Agnes Hospital,Saint Agnes Healthcare,1,5,
945,Saint Agnes Hospital,Saint Agnes Hospital Center And Cancer Institute,1,5,
915,Roswell Park Comprehensive Cancer Center,Roswell Park Comprehensive Cancer Center,5,5,
841,Partners In Health,Partners In Health,3,5,
842,Partners In Health,Partners In Health Mexico,1,5,
843,Partners In Health,Partners In Health/Inshuti Mu Buzima,1,5,
701,Naval Medical Center Portsmouth,Naval Medical Center Portsmouth,5,5,
682,Morehouse School Of Medicine,Morehouse School Of Medicine,5,5,
630,Mcgill University,Mcgill University,5,5,
564,Lahey Hospital And Medical Center,Lahey Hospital And Medical Center,4,5,
565,Lahey Hospital And Medical Center,Lahey Hospital Medical Center,1,5,
556,Kyushu University,Kyushu University,4,5,
557,Kyushu University,Kyushu University Beppu Hospital,1,5,
540,King Faisal Specialist Hospital & Research Center,King Faisal Specialist Hospital & Research Center,4,5,
541,King Faisal Specialist Hospital & Research Center,King Faisal Specialist Hospital And Research Center (Kfsh),1,5,
526,Keck School Of Medicine,Keck School Of Medicine,2,5,
527,Keck School Of Medicine,Keck School Of Medicine Of Usc,2,5,
528,Keck School Of Medicine,Usc- Keck School Of Medicine,1,5,
480,Intermountain Medical Center,Intermountain Medical Center,3,5,
479,Intermountain Medical Center,Intermountain Healthcare,2,5,
418,Hca Healthcare,Hca Healthcare,2,5,
420,Hca Healthcare,Hca Healthcare/Usf Morsani College Of Medicine Gme: Regional Medical Center Bayonet Point,2,5,
419,Hca Healthcare,Hca Healthcare/Usf Morsani College Of Medicine Gme,1,5,
402,Hagey Laboratory For Pediatric Regenerative Medicine,Hagey Laboratory For Pediatric Regenerative Medicine,5,5,
339,Firefighters Burn And Surgical Research Laboratory,Firefighters Burn And Surgical Research Laboratory,3,5,
338,Firefighters Burn And Surgical Research Laboratory,Firefighter'S Burn And Surgical Research Laboratory,1,5,
340,Firefighters Burn And Surgical Research Laboratory,Firefighters' Burn And Surgical Research Laboratory,1,5,
329,Federal University Of Health Sciences Of Porto Alegre,Federal University Of Health Sciences Of Porto Alegre,3,5,
330,Federal University Of Health Sciences Of Porto Alegre,Federal University Of Health Sciences Of Porto Alegre (Ufcspa),1,5,
331,Federal University Of Health Sciences Of Porto Alegre,University Of Health Sciences Of Porto Alegre,1,5,
186,Children'S Medical Center,Children'S Medical Center,5,5,
150,Center For Surgery And Public Health,Center For Surgery And Public Health,5,5,
87,Beaumont Health System,Beaumont Health System,2,5,
88,Beaumont Health System,Beaumont Health System Research Institute,2,5,
86,Beaumont Health System,Beaumont Health,1,5,
66,Austin Health,Austin Health,4,5,
67,Austin Health,Austin Hospital,1,5,
64,Augusta University,Augusta University,3,5,
65,Augusta University,Augusta University Medical Center,2,5,
56,Ariadne Labs,Ariadne Labs,5,5,
3,Abington Jefferson Health,Abington Jefferson Health,4,5,
4,Abington Jefferson Health,Jefferson Abington Hospital,1,5,
1611,Zucker School Of Medicine At Hofstra/Northwell,Zucker School Of Medicine At Hofstra/Northwell,4,4,
1608,Zhongshan Hospital Fudan University,Zhongshan Hospital Fudan University,2,4,
1609,Zhongshan Hospital Fudan University,Zhongshan Hospital Of Fudan University,1,4,
1610,Zhongshan Hospital Fudan University,Zhongshsn Hospital Of Fudan University,1,4,
1582,Western Michigan University Homer Stryker Md School Of Medicine,Western Michigan University Homer Stryker Md School Of Medicine,4,4,Western Michigan University Homer Stryker Md School Of Medicine
1562,Washington University School Of Medicine,Washington University School Of Medicine,4,4,
1539,Virginia Commonwealth University School Of Medicine,Virginia Commonwealth University School Of Medicine,4,4,Virginia Commonwealth University
1521,Valley Health System / Mcallen Medical Center,Valley Health System,2,4,
1522,Valley Health System / Mcallen Medical Center,Valley Health System / Mcallen Medical Center,2,4,
1520,Valley Children'S Hospital,Valley Children'S Hospital,4,4,
1516,Va Palo Alto Healthcare Systems,Va Palo Alto Healthcare Systems,3,4,
1515,Va Palo Alto Healthcare Systems,Va Palo Alto Healthcare System,1,4,
1433,University Of Texas At Austin Dell Medical School,Dell Medical School,1,4,
1434,University Of Texas At Austin Dell Medical School,University Of Texas At Austin,1,4,
1435,University Of Texas At Austin Dell Medical School,University Of Texas At Austin Dell Medical School,1,4,
1436,University Of Texas At Austin Dell Medical School,University Of Texas Austin Dell Medical School,1,4,
1418,University Of Sydney,University Of Sydney,3,4,
1417,University Of Sydney,The University Of Sydney,1,4,
1399,University Of Puerto Rico School Of Medicine,University Of Puerto Rico School Of Medicine,4,4,
1318,University Of Hawaii,University Of Hawaii,4,4,
1264,University Of California San Francisco - East Bay,University Of California San Francisco - East Bay,4,4,
1263,University Of California - San Francisco - East Bay,University Of California - San Francisco - East Bay,4,4,
1254,University Of California - Riverside,University Of California - Riverside,3,4,
1255,University Of California - Riverside,University Of California Riverside,1,4,
1244,University Of Calgary,University Of Calgary,4,4,
1207,University Hospitals Case Medical Center,University Hospitals Case Medical Center,4,4,
1188,Universidad De La Sabana,Universidad De La Sabana,4,4,
1176,Ucsf East Bay,Ucsf East Bay,4,4,
1172,Uc San Diego School Of Medicine,Uc San Diego School Of Medicine,3,4,
1171,Uc San Diego School Of Medicine,Uc San Diego,1,4,
1137,The University Of Tennessee Medical Center At Knoxville,The University Of Tennessee Medical Center At Knoxville,2,4,
1138,The University Of Tennessee Medical Center At Knoxville,University Of Tennessee Knoxville,1,4,
1139,The University Of Tennessee Medical Center At Knoxville,University Of Tennessee Medical Center - Knoxville,1,4,
1042,Stroger Hospital Of Cook County,Stroger Hospital Of Cook County,2,4,
1040,Stroger Hospital Of Cook County,1Stroger Hospital Of Cook County,1,4,
1041,Stroger Hospital Of Cook County,John H Stroger Jr Hospital Of Cook County,1,4,
1004,St. Jude Children'S Research Hospital,St. Jude Children'S Research Hospital,4,4,
1000,St. George'S University School Of Medicine,St. George'S University School Of Medicine,4,4,
959,Sandman Provincial Hospital/ Bolan Medical College,Sandman Provincial Hospital/ Bolan Medical College,4,4,
863,Philadelphia College Of Osteopathic Medicine,Philadelphia College Of Osteopathic Medicine,4,4,
